make,model,year,trim,fuel_type,drivetrain,city_fuel_economy,hwy_fuel_economy,comb_fuel_economy,transmission_type,min_price,med_price,image,expert_score,consumer_score,make_id,model_id,trim_id,fuel_type_id,drivetrain_id,image_id
acura,rdx,2024,RDX SH-AWD,Gas,AWD,21,27,23,Automatic,45700,51350,https://file.kelleybluebookimages.com/kbb/base/evox/CP/53604/2024-Acura-RDX-front_53604_032_1671x782_SI_cropped.png?downsize=750:*,4.6,3.9,1,1,1,1,1,1
acura,rdx,2024,RDX SH-AWD w/Technology Pkg,Gas,AWD,21,27,23,Automatic,48350,51350,https://file.kelleybluebookimages.com/kbb/base/evox/CP/53604/2024-Acura-RDX-front_53604_032_1671x782_SI_cropped.png?downsize=750:*,4.6,3.9,1,1,2,1,1,1
acura,rdx,2024,RDX SH-AWD w/A-Spec Pkg,Gas,AWD,21,27,23,Automatic,51350,51350,https://file.kelleybluebookimages.com/kbb/base/evox/CP/53604/2024-Acura-RDX-front_53604_032_1671x782_SI_cropped.png?downsize=750:*,4.6,3.9,1,1,3,1,1,1
acura,rdx,2024,RDX SH-AWD w/Advance Pkg,Gas,AWD,21,27,23,Automatic,53500,51350,https://file.kelleybluebookimages.com/kbb/base/evox/CP/53604/2024-Acura-RDX-front_53604_032_1671x782_SI_cropped.png?downsize=750:*,4.6,3.9,1,1,4,1,1,1
acura,rdx,2024,RDX SH-AWD w/A-Spec & Advance Pkgs,Gas,AWD,21,26,23,Automatic,55500,51350,https://file.kelleybluebookimages.com/kbb/base/evox/CP/53604/2024-Acura-RDX-front_53604_032_1671x782_SI_cropped.png?downsize=750:*,4.6,3.9,1,1,5,1,1,1
acura,integra,2024,Integra 1.5T,Gas,FWD,30,37,33,Automatic,32995,36495,https://cdn.jwplayer.com/v2/media/Wv7dF60J/poster.jpg,4.5,4.3,1,2,6,1,2,2
acura,integra,2024,Integra 1.5T w/A-Spec Pkg,Gas,FWD,29,36,32,Automatic,34995,36495,https://cdn.jwplayer.com/v2/media/Wv7dF60J/poster.jpg,4.5,4.3,1,2,7,1,2,2
acura,integra,2024,Integra 1.5T w/A-Spec & Tech Pkg,Gas,FWD,26,36,30,Manual,37995,36495,https://cdn.jwplayer.com/v2/media/Wv7dF60J/poster.jpg,4.5,4.3,1,2,8,1,2,2
acura,integra,2024,Integra Type S,Gas,FWD,21,28,24,Manual,52995,36495,https://cdn.jwplayer.com/v2/media/Wv7dF60J/poster.jpg,4.5,4.3,1,2,9,1,2,2
acura,mdx,2024,MDX,Gas,FWD,19,26,22,Automatic,51500,60150,https://file.kelleybluebookimages.com/kbb/base/evox/CP/53161/2024-Acura-MDX-front_53161_032_1710x797_RE_cropped.png?downsize=750:*,4.5,4.2,1,3,10,1,2,3
acura,mdx,2024,MDX SH-AWD,Gas,AWD,19,25,21,Automatic,53700,60150,https://file.kelleybluebookimages.com/kbb/base/evox/CP/53161/2024-Acura-MDX-front_53161_032_1710x797_RE_cropped.png?downsize=750:*,4.5,4.2,1,3,11,1,1,3
acura,mdx,2024,MDX Base w/Technology Pkg,Gas,FWD,19,26,22,Automatic,56200,60150,https://file.kelleybluebookimages.com/kbb/base/evox/CP/53161/2024-Acura-MDX-front_53161_032_1710x797_RE_cropped.png?downsize=750:*,4.5,4.2,1,3,12,1,2,3
acura,mdx,2024,MDX SH-AWD w/Technology Pkg,Gas,AWD,19,25,21,Automatic,58400,60150,https://file.kelleybluebookimages.com/kbb/base/evox/CP/53161/2024-Acura-MDX-front_53161_032_1710x797_RE_cropped.png?downsize=750:*,4.5,4.2,1,3,13,1,1,3
acura,mdx,2024,MDX SH-AWD w/A-Spec Pkg,Gas,AWD,19,25,21,Automatic,61900,60150,https://file.kelleybluebookimages.com/kbb/base/evox/CP/53161/2024-Acura-MDX-front_53161_032_1710x797_RE_cropped.png?downsize=750:*,4.5,4.2,1,3,14,1,1,3
acura,mdx,2024,MDX SH-AWD w/Advance Pkg,Gas,AWD,19,25,21,Automatic,65450,60150,https://file.kelleybluebookimages.com/kbb/base/evox/CP/53161/2024-Acura-MDX-front_53161_032_1710x797_RE_cropped.png?downsize=750:*,4.5,4.2,1,3,15,1,1,3
acura,mdx,2024,MDX Type S,Gas,AWD,17,21,19,Automatic,69800,60150,https://file.kelleybluebookimages.com/kbb/base/evox/CP/53161/2024-Acura-MDX-front_53161_032_1710x797_RE_cropped.png?downsize=750:*,4.5,4.2,1,3,16,1,1,3
acura,mdx,2024,MDX Type S w/Advance Pkg,Gas,AWD,17,21,19,Automatic,75150,60150,https://file.kelleybluebookimages.com/kbb/base/evox/CP/53161/2024-Acura-MDX-front_53161_032_1710x797_RE_cropped.png?downsize=750:*,4.5,4.2,1,3,17,1,1,3
acura,zdx,2024,ZDX A-Spec,Electric,AWD,94,80,87,,69850,74850,https://cdn.jwplayer.com/v2/media/NLfHCN7W/poster.jpg,4.4,5.0,1,4,18,2,1,4
acura,zdx,2024,ZDX Type S,Electric,AWD,94,80,87,,74850,74850,https://cdn.jwplayer.com/v2/media/NLfHCN7W/poster.jpg,4.4,5.0,1,4,19,2,1,4
acura,zdx,2024,ZDX Type S w/Performance Wheel & Tire,Electric,AWD,94,80,87,,75850,74850,https://cdn.jwplayer.com/v2/media/NLfHCN7W/poster.jpg,4.4,5.0,1,4,20,2,1,4
acura,tlx,2024,TLX Base w/Technology Pkg,Gas,FWD,22,31,25,Automatic,46195,51195,https://file.kelleybluebookimages.com/kbb/base/evox/CP/51840/2024-Acura-TLX-front_51840_032_1822x728_GR_cropped.png?downsize=750:*,4.3,4.3,1,5,21,1,2,5
acura,tlx,2024,TLX SH-AWD w/A-Spec Pkg,Gas,AWD,21,29,24,Automatic,51195,51195,https://file.kelleybluebookimages.com/kbb/base/evox/CP/51840/2024-Acura-TLX-front_51840_032_1822x728_GR_cropped.png?downsize=750:*,4.3,4.3,1,5,22,1,1,5
acura,tlx,2024,TLX Type S,Gas,AWD,19,25,21,Automatic,58195,51195,https://file.kelleybluebookimages.com/kbb/base/evox/CP/51840/2024-Acura-TLX-front_51840_032_1822x728_GR_cropped.png?downsize=750:*,4.3,4.3,1,5,23,1,1,5
acura,rdx,2023,RDX Sport Utility 4D,Gas,FWD,22,28,24,Automatic,33500,37516,https://file.kelleybluebookimages.com/kbb/base/evox/CP/52060/2023-Acura-RDX-front_52060_032_1671x782_RE_cropped.png?downsize=750:*,4.6,3.9,1,1,24,1,2,6
acura,rdx,2023,RDX FWD w/Technology Pkg Sport Utility 4D,Gas,FWD,22,28,24,Automatic,36693,37516,https://file.kelleybluebookimages.com/kbb/base/evox/CP/52060/2023-Acura-RDX-front_52060_032_1671x782_RE_cropped.png?downsize=750:*,4.6,3.9,1,1,25,1,2,6
acura,rdx,2023,RDX SH-AWD w/Technology Pkg Sport Utility 4D,Gas,AWD,21,27,23,Automatic,36885,37516,https://file.kelleybluebookimages.com/kbb/base/evox/CP/52060/2023-Acura-RDX-front_52060_032_1671x782_RE_cropped.png?downsize=750:*,4.6,3.9,1,1,26,1,1,6
acura,rdx,2023,RDX SH-AWD Sport Utility 4D,Gas,AWD,21,27,23,Automatic,37412,37516,https://file.kelleybluebookimages.com/kbb/base/evox/CP/52060/2023-Acura-RDX-front_52060_032_1671x782_RE_cropped.png?downsize=750:*,4.6,3.9,1,1,27,1,1,6
acura,rdx,2023,RDX SH-AWD w/A-Spec Pkg Sport Utility 4D,Gas,AWD,21,26,23,Automatic,37620,37516,https://file.kelleybluebookimages.com/kbb/base/evox/CP/52060/2023-Acura-RDX-front_52060_032_1671x782_RE_cropped.png?downsize=750:*,4.6,3.9,1,1,28,1,1,6
